id,reponame,output
cpp-event,jbeder/yaml-cpp,event
dotnet-event,aaubry/YamlDotNet,event
dotnet-json,aaubry/YamlDotNet,json
hs-yaml-event,hvr/HsYAML,event
hs-yaml-json,hvr/HsYAML,json
js-event,eemeli/yaml,event
js-json,eemeli/yaml,json
js-yaml,eemeli/yaml,yaml
js-yaml-json,nodeca/js-yaml,json
libyaml-event,yaml/libyaml,event
libyaml-yaml,yaml/libyaml,yaml
java-event,asomov/snakeyaml,event
java-json,asomov/snakeyaml,json
luajit-json,lubyk/yaml,json
nimyaml-event,flyx/NimYAML,event
perl5-pm-pl,ingydotnet/yaml-pm,native
perl5-pm-json,ingydotnet/yaml-pm,json
perl5-syck-pl,toddr/YAML-Syck,native
perl5-syck-json,toddr/YAML-Syck,json
perl5-tiny-pl,Perl-Toolchain-Gang/YAML-Tiny,native
perl5-tiny-json,Perl-Toolchain-Gang/YAML-Tiny,json
perl5-xs-pl,ingydotnet/yaml-libyaml-pm,native
perl5-xs-json,ingydotnet/yaml-libyaml-pm,json
perl5-pegex-event,ingydotnet/yaml-pegex-pm,event
perl5-pp-event,perlpunk/YAML-PP-p5,event
perl5-pp-json,perlpunk/YAML-PP-p5,json
perl5-pp-pl,perlpunk/YAML-PP-p5,native
perl5-pp-yaml,perlpunk/YAML-PP-p5,yaml
perl6-p6,leont/yamlish,native
perl6-json,leont/yamlish,json
pyyaml-event,yaml/pyyaml,event
pyyaml-json,yaml/pyyaml,json
pyyaml-py,yaml/pyyaml,native
pyyaml-yaml,yaml/pyyaml,yaml
ref-yeast,orenbenkiki/yamlreference,yeast
ruamel-event,ruamel/yaml,event
ruamel-json,ruamel/yaml,json
ruamel-py,ruamel/yaml,native
ruamel-yaml,ruamel/yaml,yaml
ruby-json,-,json
